PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,BuildingAge,distance_center,nb_use_types,Electricity,SteamUse,NaturalGas,Buildings Consumption,Neighborhood Consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,5,29454,0,87.0,652429.875,False,Compliant,4.55,61,0.8401116855262012,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,25596,0,87.0,602191.1875,False,Compliant,4.2,61,0.9237139868644066,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,23120,0,83.0,999924.3125,False,Compliant,42.1,75,0.897039187969672,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,6,39212,0,83.0,1313366.0,False,Compliant,9.16,65,0.8550932837290476,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,22093,0,76.0,536511.5,False,Compliant,3.74,63,0.9648869661424727,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,2,22113,0,87.0,679565.625,False,Compliant,4.74,117,0.8418409404300379,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,57110,15812,69.0,2190460.0,False,Compliant,24.31,39,0.8945143481235386,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,40370,0,51.0,982153.875,False,Compliant,6.85,109,0.9081452230048958,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,51150,0,70.0,3245598.0,False,Compliant,145.21,99,0.5957754618696273,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,GREATER DUWAMISH,1.0,4,35796,0,43.0,1158549.25,False,Compliant,8.08,55,4.0803626558714745,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,34030,0,50.0,1748629.875,False,Compliant,22.26,44,1.004514454351257,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,72671,0,46.0,2082754.75,False,Compliant,16.13,48,9.04166745640674,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,2,22382,0,67.0,678980.125,False,Compliant,4.73,56,9.093306705605906,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,27639,0,73.0,671004.625,False,Compliant,4.68,46,8.989118862003657,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,2,101613,0,99.0,2302943.0,False,Compliant,38.41,53,8.953488473892016,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,30942,0,60.0,900973.0,False,Compliant,6.28,37,8.906929070782756,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Distribution Center,GREATER DUWAMISH,1.0,1,41308,0,7.0,1642471.5,False,Compliant,38.57,71,3.805264108117712,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,36751,0,33.0,2552098.5,False,Compliant,114.63,93,1.5888650143306926,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,4,39888,0,29.0,2504814.5,False,Compliant,91.53,45,6.909647194190291,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,30833,0,64.0,709209.875,False,Compliant,4.94,23,7.056134174974499,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,6,28453,0,96.0,825716.8125,False,Compliant,5.93,22,0.805138894473379,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,7,28291,0,93.0,669217.6875,False,Compliant,4.67,57,2.4639932172492145,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,34459,0,81.0,897359.6875,False,Compliant,6.26,24,0.3201540814065975,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,SOUTHWEST,1.0,6,40025,0,67.0,1568668.375,False,Compliant,34.3,21,5.6103241521735425,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,8,25012,0,,783208.625,False,Compliant,5.46,42,2.6232205294339583,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,7,35750,5041,100.0,1243200.75,False,Compliant,34.48,55,0.8665846486448375,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,5,34726,0,70.0,865348.0,False,Compliant,6.03,39,1.1672629805361419,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,3,49106,0,34.0,1190733.5,False,Compliant,8.3,43,4.243785751344076,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,3,24754,0,66.0,676499.875,False,Compliant,4.72,58,2.9063926535471283,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,30870,0,66.0,788659.375,False,Compliant,5.5,21,7.226014227139139,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,7,109284,0,100.0,1739286.75,False,Compliant,12.13,22,2.772009044221691,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,28766,0,,789209.8125,False,Compliant,17.89,24,0.6381091487448854,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,24570,0,62.0,690259.0,False,Compliant,4.81,42,0.5810311780611098,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,5,50749,0,79.0,1501111.75,False,Compliant,11.71,16,3.7440299970468844,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,6,91520,0,57.0,3304112.0,False,Compliant,25.59,16,3.7425401473238535,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,LAKE UNION,1.0,4,62504,11128,50.0,1006989.688,False,Compliant,7.07,19,3.2997954041009105,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,7,39962,0,74.0,1516831.75,False,Compliant,45.08,20,0.5970065100620982,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mixed Use Property,DOWNTOWN,1.0,3,43878,0,,769771.3125,False,Compliant,5.37,110,1.99161078742154,4,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,MAGNOLIA / QUEEN ANNE,1.0,3,34976,0,,873711.125,False,Compliant,15.7,111,0.9985102929575397,1,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,22604,0,51.0,1351808.75,False,Compliant,61.25,76,1.0541227250245233,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,46296,0,28.0,2942890.75,False,Compliant,138.31,114,1.0460013010636051,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,36282,4882,90.0,961476.1875,False,Compliant,25.47,94,1.017025098482898,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,9,54820,0,54.0,2338567.75,False,Compliant,41.15,53,1.069537128084255,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,6,44016,0,100.0,761504.875,False,Compliant,5.31,63,1.1516510160840867,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,31552,0,73.0,1648730.5,False,Compliant,75.13,93,1.2141646091033167,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,29533,0,96.0,1355062.75,False,Compliant,58.85,98,1.127813973139002,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,20688,0,30.0,1493131.75,False,Compliant,68.8,93,1.119346597620198,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,DOWNTOWN,1.0,3,22972,0,49.0,1385975.75,False,Compliant,63.14,77,2.09982056860308,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,49034,0,85.0,1342943.25,False,Compliant,9.36,38,1.3094533323324573,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,33164,0,91.0,611911.5,False,Compliant,4.27,61,1.5846930935508556,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,38407,0,57.0,1208168.75,False,Compliant,8.42,116,1.8243175833433853,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,6,88422,0,86.0,4409881.5,False,Compliant,184.51,68,1.751828035134099,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,34498,0,100.0,910639.1875,False,Compliant,41.13,116,2.0995555072687253,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,56074,0,71.0,1566177.0,False,Compliant,10.92,38,8.867608222607917,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,43132,0,46.0,1228837.25,False,Compliant,8.57,42,8.992950583465575,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTH,1.0,5,25671,0,92.0,680395.875,False,Compliant,4.74,55,8.936215256897666,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,31379,0,66.0,882759.1875,False,Compliant,6.15,30,8.984788202593133,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,24052,0,34.0,792939.3125,False,Compliant,5.53,54,8.882176534822506,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTH,1.0,6,119355,0,70.0,2059083.25,False,Compliant,14.35,20,9.101409445288486,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,38255,0,12.0,985401.8125,False,Compliant,33.8,66,3.268990020610758,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,144779,0,57.0,4042957.75,False,Compliant,28.19,53,10.152812466525981,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,3,20210,0,87.0,536642.875,False,Compliant,10.43,56,4.519363836330133,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,SOUTHEAST,2.0,2,21708,0,52.0,1464009.25,False,Compliant,60.5,67,10.397567988235634,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,2,55842,0,29.0,1388812.0,False,Compliant,9.68,17,10.320226720983467,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
High-Rise Multifamily,EAST,1.0,12,97160,15303,17.0,3971959.75,False,Compliant,27.69,53,2.828254408317676,2,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,Central,1.0,4,23875,0,51.0,1258978.375,False,Compliant,52.79,94,4.449473574842809,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,BALLARD,1.0,4,28467,0,,485122.4063,False,Compliant,3.38,24,6.982599644167863,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,3,48924,0,71.0,2282551.25,False,Compliant,59.24,34,1.8802975678681795,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,6,22551,0,,914488.625,False,Compliant,11.51,22,0.7291888958887571,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,LAKE UNION,1.0,2,21643,0,,943183.3125,False,Compliant,37.54,34,2.552427972629698,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,26964,4304,89.0,585077.125,False,Compliant,10.17,29,0.5056899125920662,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,8,139301,0,,3375091.5,False,Compliant,30.78,25,0.4490726615982888,4,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,4,50333,18036,88.0,1602084.375,False,Compliant,11.17,64,2.952333445977209,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,4,57432,21906,,2520483.25,False,Compliant,17.57,37,2.9309804518395484,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,3,25912,7956,,666740.3125,False,Compliant,4.65,54,2.916552869792457,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,3,57132,21908,73.0,1994967.75,False,Compliant,13.91,23,2.8750285558290276,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,DELRIDGE,1.0,6,49510,0,21.0,2765612.25,False,Compliant,44.19,55,5.337626186978898,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,DELRIDGE,1.0,3,23664,0,24.0,1034808.875,False,Compliant,7.21,46,5.458423737205147,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,DELRIDGE,1.0,3,42169,800,55.0,1123073.25,False,Compliant,7.83,17,5.141640949954415,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,DELRIDGE,1.0,4,56334,0,76.0,1934971.0,False,Compliant,44.97,17,5.176203386329824,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Senior Care Community,DELRIDGE,1.0,3,144682,0,96.0,5121586.0,False,Compliant,25.11,15,5.218377180254557,2,True,False,False,low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,DELRIDGE,1.0,2,24224,0,52.0,968026.3125,False,Compliant,26.73,66,5.946888195584409,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,DELRIDGE,1.0,1,23706,0,78.0,400770.9063,False,Compliant,13.12,60,6.055507701487791,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,5,27288,0,53.0,1406687.5,False,Compliant,54.67,60,0.5612440344718439,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Warehouse,GREATER DUWAMISH,1.0,1,31900,0,,1964681.25,False,Compliant,13.7,60,5.746361101889588,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,3,20184,0,100.0,164817.9063,False,Non-Compliant,1.15,66,6.194336362312194,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,SOUTHWEST,1.0,1,49066,0,,3835202.0,False,Compliant,178.86,106,7.270850000795142,1,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Worship Facility,SOUTHWEST,1.0,3,30740,0,,1686262.25,False,Compliant,61.3,71,7.252745723520801,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,4,21540,0,72.0,783104.125,False,Compliant,5.46,61,10.59971724126864,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Supermarket / Grocery Store,SOUTHEAST,1.0,1,67450,0,97.0,2842819.5,False,Compliant,55.86,64,10.706886621909696,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,BALLARD,1.0,1,39971,0,,0.0,False,Missing Data,50.22,65,6.0346175098166865,1,False,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,6,67796,11761,4.0,3996541.5,False,Compliant,80.06,17,1.2744493650198396,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,120693,8543,84.0,3608955.75,False,Compliant,88.1,36,1.26907550978509,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,46970,0,,882896.5,False,Compliant,6.16,75,3.5068898264526487,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,47554,0,,1035554.688,False,Compliant,16.04,92,2.9775569439046605,5,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,43016,5400,100.0,1234095.5,False,Compliant,60.57,44,2.7781651719494516,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,1,24196,0,,1055033.0,False,Compliant,22.29,92,2.7572897487539385,4,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,20671,0,98.0,638507.125,False,Compliant,24.76,83,2.7417204474951107,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,CENTRAL,1.0,2,24150,0,46.0,713893.1875,False,Compliant,4.98,38,4.448864987340025,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Warehouse,GREATER DUWAMISH,1.0,1,21600,0,57.0,499828.5938,False,Compliant,14.36,96,3.014464862101468,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,5,30418,0,,440242.8125,False,Compliant,3.07,24,2.919939749290489,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,21754,0,,1131615.125,False,Compliant,39.57,23,1.9009164800522937,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,BALLARD,1.0,3,29378,0,33.0,899266.125,False,Compliant,18.95,26,6.240712244524046,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,SOUTHWEST,1.0,1,35844,0,14.0,866126.375,False,Compliant,6.04,46,7.174745582370562,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,3,31774,0,85.0,1639136.25,False,Compliant,18.87,107,2.540999687126011,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,LAKE UNION,1.0,4,106218,0,79.0,2917787.5,False,Compliant,79.53,17,2.48248331518034,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,LAKE UNION,1.0,5,217146,0,31.0,7564643.0,False,Compliant,151.95,26,2.503653544439826,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,NORTH,1.0,2,33852,0,75.0,921786.375,False,Compliant,6.43,44,6.457460854613599,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,BALLARD,1.0,3,20599,0,,505601.0,False,Compliant,3.52,47,5.167564024913044,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
High-Rise Multifamily,EAST,1.0,11,66150,11290,21.0,2496807.5,False,Compliant,17.41,58,2.827814248794728,1,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,3,29896,0,24.0,817695.6875,False,Compliant,5.7,97,4.0538978258066605,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,3,20022,0,100.0,464155.1875,True,Error - Correct Default Data,20.09,113,3.931998876478404,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,49291,0,81.0,1125886.625,False,Compliant,7.85,39,5.270244665290871,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
High-Rise Multifamily,CENTRAL,1.0,10,97978,0,85.0,2630929.5,False,Compliant,18.34,51,4.66996453759049,1,True,False,False,low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,CENTRAL,1.0,6,87041,18582,64.0,2003948.375,True,Error - Correct Default Data,13.97,15,4.611314256126479,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,21608,0,79.0,505949.0938,False,Compliant,3.53,59,1.3902399566691395,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,BALLARD,1.0,3,33733,0,90.0,905926.875,False,Compliant,25.13,32,6.301239477767333,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Warehouse,GREATER DUWAMISH,1.0,1,26094,0,19.0,709990.8125,False,Compliant,4.95,70,3.7765917181606334,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,23687,0,68.0,1084553.75,False,Compliant,7.56,40,3.7765917181606334,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,24221,0,20.0,1435562.75,False,Compliant,10.01,40,3.7765917181606334,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,DOWNTOWN,1.0,2,71919,14083,37.0,5381105.0,False,Compliant,37.51,123,1.3629233781086916,3,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,32027,0,54.0,3999505.25,False,Compliant,128.41,123,1.3629233781086916,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,32160,0,,2805826.0,False,Compliant,19.56,117,1.8154549777673594,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,GREATER DUWAMISH,1.0,3,47836,7572,,3540225.75,False,Compliant,109.59,31,3.1176488991259097,2,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3,34425,0,84.0,2018385.75,False,Compliant,50.07,109,3.752495569082294,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,CENTRAL,1.0,7,142586,0,,4354499.0,False,Compliant,178.97,14,4.040859079567642,8,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,GREATER DUWAMISH,1.0,2,52609,0,67.0,1801941.75,True,Error - Correct Default Data,46.51,52,7.226488515102056,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,SOUTHWEST,1.0,6,29358,0,,803938.0,False,Compliant,19.7,30,5.208885794406339,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,LAKE UNION,1.0,6,92841,0,,1712279.875,False,Compliant,14.84,24,1.832990665007826,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Medical Office,SOUTHWEST,1.0,3,40304,12000,5.0,1961581.5,False,Compliant,13.67,39,4.983278660536668,2,True,False,False,medium electricity consuming buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,BALLARD,1.0,5,82082,0,11.0,2594119.0,False,Compliant,25.09,42,5.251951232937608,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,4,33852,0,88.0,1203400.5,False,Compliant,40.96,28,5.673537096338943,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
High-Rise Multifamily,DOWNTOWN,1.0,13,154889,0,73.0,4268054.0,False,Compliant,91.53,38,1.362686639670445,2,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,SOUTHEAST,1.0,7,193946,0,80.0,8819864.0,False,Compliant,218.99,19,7.125825230924629,4,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Distribution Center,GREATER DUWAMISH,1.0,1,29619,0,50.0,1280263.75,False,Compliant,42.45,33,6.0221983402380195,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,CENTRAL,1.0,3,34846,0,67.0,1034827.313,False,Compliant,7.21,55,4.604186523982798,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,CENTRAL,1.0,2,21592,0,47.0,1431784.0,False,Compliant,54.24,101,5.079956850873647,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
