PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,BuildingAge,distance_center,nb_use_types,Electricity,SteamUse,NaturalGas,Buildings Consumption,Neighborhood Consumption
Low-Rise Multifamily,DOWNTOWN,1.0,4,21840,0,98.0,471484.8125,False,Compliant,3.29,123,2.1435355848933604,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,22840,0,64.0,881386.1875,True,Error - Correct Default Data,6.14,123,2.1493639689747512,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,DOWNTOWN,1.0,1,21420,0,,810636.875,False,Compliant,9.72,123,2.185940610826889,5,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,1,20880,0,94.0,683274.0,False,Compliant,4.76,123,2.316512271109149,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,5,38765,2280,93.0,548292.6875,False,Compliant,3.82,123,2.339863652423001,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mixed Use Property,DOWNTOWN,1.0,3,26000,0,,1063035.875,False,Compliant,18.62,57,2.370975660918519,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,38675,0,,1938776.75,False,Compliant,43.91,123,2.3620478727852627,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,49951,0,,5134446.0,False,Compliant,185.33,94,2.357329154368962,2,True,True,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,23052,0,72.0,748555.5,False,Compliant,7.07,93,0.47089463915186575,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,DOWNTOWN,1.0,4,41461,0,25.0,3163537.0,False,Compliant,108.79,18,2.266284456761211,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Medical Office,SOUTHEAST,1.0,2,25880,0,8.0,1941728.75,False,Compliant,19.81,13,10.797509676954812,1,True,False,True,medium electricity consuming buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,SOUTHEAST,1.0,6,65418,0,83.0,2372126.25,False,Compliant,46.14,52,10.650334328348933,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,CENTRAL,1.0,4,65161,0,60.0,1876684.625,False,Compliant,13.08,16,4.725214578050864,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,28753,5782,57.0,733278.5,True,Error - Correct Default Data,5.11,42,5.071463033992337,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,NORTHEAST,1.0,3,41013,0,,1080821.0,False,Compliant,37.43,96,5.105333273295617,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,NORTHEAST,1.0,3,22232,0,,1214710.25,False,Compliant,46.67,95,5.395441817671691,1,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,NORTHEAST,1.0,2,21075,0,,1581036.75,False,Compliant,53.88,19,5.122424383167826,2,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,30358,0,94.0,569265.625,False,Compliant,3.97,46,5.104726425029005,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,NORTHEAST,1.0,3,46485,0,83.0,1544995.75,False,Compliant,47.03,73,4.789704160661018,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,25943,0,81.0,615955.625,False,Compliant,4.29,65,4.899864099364807,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,2.0,4,36992,0,95.0,562286.0,False,Compliant,3.92,34,4.877543672263659,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,4,27770,0,94.0,568033.375,False,Compliant,4.52,35,4.543332635819452,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,4,52263,0,96.0,1260212.75,False,Compliant,29.39,32,4.571719666032272,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Small- and Mid-Sized Office,NORTHWEST,1.0,4,56896,0,96.0,1402048.5,False,Compliant,28.46,58,4.506002948239118,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,4,31023,0,39.0,960790.8125,False,Compliant,6.7,37,4.403829425646239,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,NORTHWEST,1.0,2,27500,0,60.0,577123.125,False,Compliant,14.79,45,4.299407895451642,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,36630,0,90.0,541943.3125,False,Compliant,3.78,93,2.3513548528614123,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,0.0,3,26830,0,,2099386.75,False,Compliant,60.93,123,2.4427238657397368,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,41920,0,95.0,1103594.75,False,Compliant,7.69,117,2.484894769563683,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,36879,0,92.0,1537570.25,False,Compliant,26.94,118,2.373658879903093,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,DOWNTOWN,1.0,6,29820,0,,1601955.625,False,Compliant,35.72,119,2.4672557347967965,1,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
High-Rise Multifamily,DOWNTOWN,1.0,13,90959,0,57.0,4471029.0,False,Compliant,105.97,16,2.3762698250764447,1,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,DOWNTOWN,1.0,4,25027,0,42.0,2080898.625,False,Compliant,66.69,118,2.5284870807908795,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,0.0,2,33640,0,70.0,1078535.75,False,Compliant,7.52,118,2.540537654231726,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Warehouse,DOWNTOWN,1.0,4,43484,0,18.0,1567040.75,False,Compliant,10.92,117,2.5551885283564286,3,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
High-Rise Multifamily,DOWNTOWN,1.0,12,74327,0,24.0,4207110.5,False,Compliant,96.59,44,2.8552118658514747,1,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,DOWNTOWN,1.0,2,20304,0,98.0,1323038.75,False,Compliant,60.32,97,2.878257669382443,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mixed Use Property,DOWNTOWN,1.0,3,22480,0,,981009.125,False,Compliant,6.84,123,2.843033127032842,3,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Hotel,DOWNTOWN,1.0,4,33018,0,49.0,4857581.5,False,Compliant,173.67,98,2.8962395975713613,2,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Senior Care Community,DOWNTOWN,1.0,3,43380,0,48.0,3185108.0,False,Compliant,94.23,25,3.0418305278790845,1,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,26510,0,91.0,987063.6875,False,Compliant,11.18,53,3.0873955516622917,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,CENTRAL,3.0,4,72566,0,98.0,2249620.5,False,Compliant,13.65,62,7.149822339527626,3,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
